Original - codPostal,Original - nomeRegiao,Original - agrupamento,Original - nomeAgrupamento,Original - email,Original - latitude,Original - longitude,Original - codPostalDescricao,Original - morada,Original - nomeNucleo,Original - site
4700-416,Braga,0001,Sé Braga,geral.1@escutismo.pt,41.5519718,-8.4309511,Braga,"Rua Boavista, 51",Braga,http://www.agr1.cne-escutismo.pt
4700-915,Braga,0002,S. José de São Lazaro,geral@agr2.cne-escutismo.pt,41.5471655,-8.4216037,Braga,Complexo Paroquial de S. José de São Lazaro,Braga,
4710-435,Braga,0003,São Vítor,geral.3@escutismo.pt,41.5528961,-8.4134692,Braga,"Rua de São Domingos, 4",Braga,www.agr3.cne-escutismo.pt
4795-094,Braga,0004,Vila das Aves,geral.4@escutismo.pt,41.3729887,-8.4063876,Aves,"Rua Padre Joaquim Carlos Lemos, 2050",Famalicão,http://agr4.cne-escutismo.pt
4805-360,Braga,0005,Ronfe,geral@agr5.cne-escutismo.pt,41.438629,-8.3856362,Ronfe GMR,Avenida Monsenhor Horácio Araújo,Guimarães,http://agr5-ronfe.webs.com
4300-350,Porto,0006,Bonfim,geral.6@escutismo.pt,41.1521305,-8.593459299999999,Porto,"Igreja do BonfimRua Monte do Bonfim, 72",Cid. Porto,
4445-555,Porto,0007,Ermesinde,ca.7@escutismo.pt,41.22173069999999,-8.553381099999999,Ermesinde,"Rua do Passal, 45",Centro Norte,http://www.cne7ermesinde.org
4425-000,Porto,0008,Águas Santas,geral@agr8.cne-escutismo.pt,41.2093238,-8.5748488,Águas Santas - Maia,Salão Paroquial de Águas Santas,Litoral,http://www.agr8.cne-escutismo.pt
4300-000,Porto,0009,Campanhã,o.s.ribeiro@gmail.com,41.1576692,-8.5749741,Porto,"Rua do Falcão, 555",Cid. Porto,
4050-105,Porto,0010,Cedofeita,geral.10@escutismo.pt,41.1567233,-8.621748699999999,Porto,"Rua Aníbal Cunha, 193 - Edifício anexo à Igreja Paroquial",Cid. Porto,http://agr10.cne-escutismo.pt
4700-565,Braga,0011,Mire de Tibães,cne.agrupamento11@hotmail.com,41.5819017,-8.474877899999999,Braga,Rua de Ruães - Mire-de-Tibães,Braga,
4700-086,Braga,0012,Dume,joaquimduartegoncalves@gmail.com,41.5679119,-8.435295000000002,Braga,Largo de S. Martinho,Braga,
4750-264,Braga,0013,Alcaide Faria,geral.13@escutismo.pt,41.5317419,-8.6178922,Barcelos,"Largo Lord Baden-Powell, 11",Barcelos,http://www.agr13.cne-escutismo.pt
4770-060,Braga,0015,Bente,gera@agr15.cne-escutismo.pt,41.38458,-8.453683099999999,Bente,Largo Padre Manuel Ribeiro Junior,Famalicão,
4730-459,Braga,0016,Prado,geral.16@escutismo.pt,41.6033268,-8.4640825,Vila de Prado,Rua Enf. Pedro Ferreira Alves - Salão Paroquial,Vila Verde,
4000-404,Porto,0017,Sé,ruicavadas@net.sapo.pt,41.1429207,-8.6095089,Porto,"Igreja de Santa Clara, Largo 1º Dezembro",Cid. Porto,
5300-011,Bragança,0018,Bragança (São João de Deus),geral.18@escutismo.pt,41.8058893,-6.753938,Bragança,"Rua Abilio Beça, 57-59",,
4710-301,Braga,0019,São Vicente,agrupamento19cne@gmail.com,41.5536118,-8.420146799999999,Braga,"Praça Mouzinho Albuquerque, 23",Braga,
6200-909,Guarda,0020,Covilhã,geral.20@escutismo.pt,40.2827956,-7.5038043,Covilhã,"Rua S. Salvador, 17",,
4805-184,Braga,0022,São Paio de Figueiredo,geral@agr22.cne-escutismo.pt,41.4659013,-8.3815552,S. Paio de Figueiredo GMR,"Rua de S. Paio, 1649",Guimarães,
9760-541,Açores,0023,Praia da Vitória,roberto.sousa@iol.pt,38.7339162,-27.0646976,Praia da Vitória,"Estrada da Circunvalação, 1",Terceira,
3720-869,Porto,0024,Cucujães,geral.24@escutismo.pt,40.86909929999999,-8.500594,Vila Cucujães,Rua de S. Martinho,Terras de Santa Maria,cne24.webnode.pt
4700-846,Braga,0025,São Pedro Merelim,antonio_alvelos@sapo.pt,41.4639891,-8.217528099999999,S. Pedro Braga,Lugar do Assento,Braga,http://bragatel.pt/cne25
4770-409,Braga,0026,Pousada de Saramagos,geral@agr26.cne-escutismo.pt,41.4270649,-8.4332061,Pousada de Saramagos,"Avenida de São Martinho, S/N",Famalicão,
4765-066,Braga,0027,Bairro,geral@agr27.cne-escutismo.pt,41.37256840000001,-8.425583399999999,Bairro,"Largo do Escuteiro, n.º 27",Famalicão,www.agr27.cne-escutismo.pt
4800-868,Braga,0028,São Torcato,geral.28@escutismo.pt,41.4833449,-8.255121899999999,São Torcato Guimarães,"Rua Padre Guilhermino Arieira, R/C - Casa do Povo, n.º 613",Guimarães,
4700-845,Braga,0030,São Paio Merelim,geral.30@escutismo.pt,41.5855291,-8.461793199999999,Merelim São Paio,Rua Padre Domingos Duarte da Cunha,Braga,
6215-058,Guarda,0031,Barco,geral.31@escutismo.pt,40.1746004,-7.6076598,Barco,"Largo da Igreja Velha, 9",,http://agrupamento31barco.no.sapo.pt/
6250-081,Guarda,0033,Belmonte,geral.33@escutismo.pt,40.4407076,-7.309662599999999,Belmonte,Bairro do St. Antão,,
7080-071,Évora,0034,Vendas Novas,geral@agr34.cne-escutismo.pt,38.6773702,-8.4685644,Vendas Novas,"Rua de São Domingos Sávio, 16",,http://www.agr34.cne-escutismo.pt/
2430-231,Leiria,0036,Marinha Grande,geral.36@escutismo.pt,39.74225819999999,-8.933476899999999,Marinha Grande,"Rua Professor Alberto Nery Capucho, 22",,http://36.escutismo.pt
7005-548,Évora,0037,Nossa Senhora de Fátima,luciacbruno@hotmail.com,38.571431,-7.913501999999999,Évora,"Av. Manuel Sousa Sepúlveda, n.º 5",,
4490-421,Braga,0038,Matriz - Imaculada Conceição,geral.38@escutismo.pt,41.38263970000001,-8.758794099999999,Póvoa de Varzim,Largo das Dores,Cego do Maio,http://www.agr38.cne-escutismo.pt
1250-243,Lisboa,0039,Santa Isabel,geral.39@escutismo.pt,38.7180728,-9.158637599999999,Lisboa,Igreja Paroquial de Santa IsabelRua Saraiva de Carvalho 2 A,Lisboa Ocidental,http://alerta39.blogspot.com
1050-231,Lisboa,0040,São Sebastião da Pedreira,geral.40@escutismo.pt,38.73247560000001,-9.151002399999999,Lisboa,"Rua Tomás Ribeiro, 64",Lisboa Ocidental,
1170-298,Lisboa,0042,Penha de França,geral.42@escutismo.pt,38.73023269999999,-9.131360899999999,Lisboa,"Largo da Penha de França, Nº 3",Oriental,
1000-032,Lisboa,0043,São Jorge de Arroios,agr43.cne@gmail.com,38.7325367,-9.136168099999999,Lisboa,"Rua Alves Torgo, 1",Oriental,
2300-449,Santarém,0044,Tomar,geral.44@escutismo.pt,39.5988011,-8.401313699999999,Tomar,"Rua Alfredo Maia Pereira, 6 E",,http://agr44.cne-escutismo.pt
2760-043,Lisboa,0045,Caxias,direccao@agr45.cne-escutismo.pt,38.7056104,-9.2763188,Caxias,"Rua de Diu, número entre 27 e 29",Barra,
2735-380,Lisboa,0046,Cacém,geral.46@escutismo.pt,38.7730574,-9.292298199999999,Cacém,Praceta de Santo António,Serra da Lua,http://www.agr46.cne-escutismo.pt/
1200-110,Lisboa,0048,Santa Catarina,48santa@gmail.com,38.7110036,-9.1473265,Lisboa,Igreja Paroquial de Santa Catarina - Calçada do Combro,Lisboa Ocidental,
